Lyrics,Direct Translation,Poetic Translation
"sed eam deflorat,","but he deflowers,",But gold builds creation
auro dum se colorat:,while gold gives color:,Or brings us ruination:
"Auro nil potentius,","Nothing is more powerful than gold,","Save for gold, all earth will rust;"
"nil gratius,",nothing is greater;,"In gold we trust,"
nec Tullius,not even Tullius,As Tullius
facundius perorat.,can argue against that.,At length discussed with great sophistication.
"Sed hos urit acrius,",But they burn more fiercely,But more fiercely they combust
quos amplius honorat;,who are more honored;,Which more upthrust the station.
"nichil iustius,",nothing is more just:,The end is just:
calidum Crassus dum vorat!,Crassus consumed by the fire!,Crassus in harsh conflagration!
,,
Philip the Chancellor,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
